dataset	cache_policy	cache_ratio	hit_rate
CF	presample	0.47	0.947339
CF	presample	0.48	0.950245
CF	presample	0.49	0.953061
CF	presample	0.5	0.95609
CF	presample	0.51	0.957793
CF	presample	0.52	0.959266
CF	presample	0.53	0.960756
CF	presample	0.54	0.962266
CF	presample	0.55	0.963783
CF	presample	0.56	0.965306
CF	presample	0.57	0.966831
CF	presample	0.58	0.968398
CF	presample	0.59	0.969922
CF	presample	0.6	0.97138
CF	presample	0.61	0.972881
CF	presample	0.62	0.974356
CF	presample	0.63	0.97577
CF	presample	0.64	0.977212
CF	presample	0.65	0.978804
CF	presample	0.66	0.980365
CF	presample	0.67	0.980892
CF	presample	0.68	0.981452
CF	presample	0.69	0.98204
CF	presample	0.7	0.982627
CF	presample	0.71	0.983211
CF	presample	0.72	0.983793
CF	presample	0.73	0.984376
CF	presample	0.74	0.984973
CF	presample	0.75	0.985559
CF	presample	0.76	0.986126
CF	presample	0.77	0.986678
CF	presample	0.78	0.987222
CF	presample	0.79	0.987752
CF	presample	0.8	0.98828
CF	presample	0.81	0.988884
CF	presample	0.82	0.989498
CF	presample	0.83	0.990105
CF	presample	0.84	0.990719
CF	presample	0.85	0.99132
CF	presample	0.86	0.991897
CF	presample	0.87	0.992465
CF	presample	0.88	0.993055
CF	presample	0.89	0.993655
CF	presample	0.9	0.994235
CF	presample	0.91	0.994809
CF	presample	0.92	0.995385
CF	presample	0.93	0.995922
CF	presample	0.94	0.996451
CF	presample	0.95	0.996994
CF	presample	0.96	0.997573
CF	presample	0.97	0.998179
CF	presample	0.98	0.998849
CF	presample	0.99	0.999426
CF	presample	1	1
